Word//word combination,Sentiment scores,,,,,,,,Average sentiment score,Notes
лайтовий,1,1,0,1,1,0,0,0,"0,50",англіцизм
лайфхак,2,1,0,1,1,0,1,2,"1,00",
лак,0,-1,0,0,,,,0,"-0,20",
лаконічний,1,1,1,0,,,,2,"1,00",
лаконічно,1,1,0,0,,,,2,"0,80",власна вставка
лакриця,2,0,1,1,-1,0,0,0,"0,38",лікарська рослина
лакування,0,0,1,0,,,,1,"0,40",
ламати,-2,-1,-2,-2,-2,-1,-2,-2,"-1,75",
Ламборгіні ,0,1,1,1,,,,0,"0,60",марка авто
ламінат,0,0,2,2,0,1,0,0,"0,63",
лампа,1,0,1,1,0,0,1,1,"0,63",
лампочка ,0,0,0,1,,,,1,"0,40",зменш. до лампа
ламтик,1,0,0,1,1,0,0,0,"0,38",
лан,2,1,1,1,,,,1,"1,20",
ландшафт,0,1,1,0,,,,1,"0,60",
ланка,0,0,0,0,0,1,1,1,"0,38",
ланцюг,0,0,0,-1,-2,0,0,1,"-0,25",
ланцюговий,0,1,0,1,,,,1,"0,60",
ланцюжок ,1,1,0,1,,,,1,"0,80",зменш. до ланцюг
лань ,0,0,0,1,,,,1,"0,40",
Лаос,0,-1,-1,1,0,0,0,0,"-0,13",власна вставка
лапа,0,0,1,0,0,2,0,1,"0,50",
лапка,2,0,0,1,,,,1,"0,80",зменш.-пестл. до лапа
лапша,2,0,0,1,0,0,0,0,"0,38",
ласка,1,2,2,1,1,1,1,2,"1,38",
ласкавий,2,1,1,1,,,,2,"1,40",
ласкаво,1,1,2,1,,,,2,"1,40",
ласощі,2,2,2,2,2,1,1,2,"1,75",
ластівка ,1,1,0,2,1,1,0,1,"0,88",
ластовиння ,0,0,0,0,,,,1,"0,20",
латаття,1,0,0,0,,,,0,"0,20",
латвієць,0,2,2,1,0,0,0,1,"0,75",власна вставка
латвійський,0,2,2,1,0,0,0,1,"0,75",власна вставка
латвійці,0,2,1,1,0,0,0,1,"0,63",власна вставка
Латвія,0,0,1,0,,,,1,"0,40",
лате ,2,1,1,2,1,1,1,0,"1,13",
латекс,1,0,0,-1,0,0,-2,0,"-0,25",
латентний,-1,-1,1,1,0,0,-2,0,"-0,25",
латина,0,1,1,2,,,,1,"1,00",
латинський,0,0,1,1,,,,1,"0,60",
лауреат,0,1,1,2,,,,2,"1,20",
лаштунки,1,0,1,0,,,,1,"0,60",
лаяти,-1,0,-1,-1,,,,-2,"-1,00",
ЛГБТ,2,1,0,0,0,-2,-2,0,"-0,13",
лебідь,1,0,1,1,1,1,2,1,"1,00",
лев,-1,1,2,1,1,-1,-1,-1,"0,13",
левада,0,0,1,1,0,0,1,0,"0,38",
левиця,2,0,1,0,,,,-1,"0,40",
левітація,1,0,0,0,0,0,0,1,"0,25",
легалізація,1,1,0,1,1,1,2,1,"1,00",
легалізувати,1,1,2,1,,,,2,"1,40",
легальний,0,1,0,1,2,1,1,2,"1,00",
легенда,1,2,2,2,1,1,1,1,"1,38",
легендарний,2,1,1,1,,,,1,"1,20",
легеневий,0,0,1,1,,,,1,"0,60",
легенько,1,0,1,0,,,,1,"0,60",
легеня,2,0,-1,1,1,2,1,1,"0,88",
легіон,0,0,1,0,,,,1,"0,40",
легітимність,2,2,2,1,0,1,1,0,"1,13",
легкий,2,1,1,2,1,1,2,1,"1,38",
легкий ,1,0,0,0,,,,1,"0,40",
легкість,2,1,1,0,,,,2,"1,20",
легко,2,2,1,2,1,2,1,2,"1,63",
легковажний,-2,-1,-2,-2,,,,-2,"-1,80",
легшати,1,0,1,1,,,,2,"1,00",
легше,2,1,0,1,,,,2,"1,20",
леді,1,1,1,2,2,2,0,1,"1,25",
ледь,0,0,-1,0,,,,-1,"-0,40","те саме, що ледве"
лежати,0,1,1,0,2,0,0,-1,"0,38",
лезбійка,1,0,1,0,0,-1,-2,0,"-0,13",
лезо,0,0,0,-1,0,-1,-1,-1,"-0,50",
Лейкерс ,1,1,1,0,,,,0,"0,60",Баскетбольний клуб
лейкоз,-2,-1,-2,-2,,,,-2,"-1,80",
лексема,0,0,0,1,,,,0,"0,20",
лексика,0,0,0,1,,,,1,"0,40",
лексикографія,0,0,0,1,,,,0,"0,20",
лексичний ,1,0,1,0,,,,1,"0,60",
Лексус ,1,1,0,1,,,,0,"0,60",марка авто
лектор,0,1,2,1,,,,1,"1,00",
лекція,1,0,1,0,0,1,1,1,"0,63",
лелека,1,0,1,1,,,,1,"0,80",
Ленін ,-2,-2,-2,-1,-1,-1,-2,0,"-1,38",
ленінізм,-2,-2,-2,-1,-1,0,-1,0,"-1,13",
Леонардо да Вінчі,2,1,2,1,2,1,1,1,"1,38",
Леонід Кучма,-2,0,-1,0,,,,0,"-0,60",
леопард,0,1,1,0,,,,-1,"0,20",
леопардовий,0,0,1,0,,,,0,"0,20",
лестощі,1,0,0,1,0,-1,-2,-2,"-0,38",
летальний,-2,-2,-2,-2,-2,-2,0,-2,"-1,75",
летальність,0,-2,-2,-2,,,,-2,"-1,60",
летіти,1,1,1,1,1,1,1,1,"1,00",
лешмейкер,1,0,0,1,0,0,0,0,"0,25",майстер із нарощування вій
лжесвідок,-1,-1,-2,-1,-1,-1,-2,-2,"-1,38",
лиман,0,0,1,0,,,,1,"0,40",
лимон ,1,0,0,1,1,0,1,1,"0,63",
лимонад,2,0,2,1,2,1,0,1,"1,13",
лимонний,1,1,0,-1,,,,1,"0,40",
липа,1,0,2,2,0,1,2,1,"1,13",
липень,0,2,1,0,1,2,1,2,"1,13",
липка,-1,0,-1,0,,,,-1,"-0,60","фраза ""обдерти як липку""; зменш. до липа"
липкий,-2,-1,-1,-2,-2,0,-2,-1,"-1,38",
лис ,0,0,-1,-1,,,,0,"-0,40",
Лиса гора,0,0,0,-1,,,,0,"-0,20",
лисий ,-1,-1,0,0,,,,-2,"-0,80",
лисина,-2,-1,-2,-2,-1,0,-2,0,"-1,25",
лисиця,0,0,0,1,1,1,1,-1,"0,38",
Лисичанськ,0,1,1,2,-1,0,0,1,"0,50",власна вставка
лист,0,2,1,0,1,1,1,1,"0,88",
листівка,0,0,1,0,1,1,1,1,"0,63",
листок,1,0,1,0,0,1,1,1,"0,63",
листопад,0,0,0,0,-1,1,-1,2,"0,13",
листування,0,0,1,1,,,,2,"0,80",
листя,0,0,1,1,1,1,0,1,"0,63",
листяний,0,1,1,0,,,,1,"0,60",
Литва,0,1,1,2,2,0,0,1,"0,88",власна вставка
лити,0,0,0,0,,,,-1,"-0,20",
литися,0,0,0,-1,,,,-1,"-0,40",
литовець,0,2,2,1,1,0,0,1,"0,88",власна вставка
литовський,0,2,2,1,1,0,0,1,"0,88",власна вставка
литовці,0,2,2,1,0,0,0,1,"0,75",власна вставка
лихо,-1,-2,-2,-2,,,,-2,"-1,80",
лихоманка,-2,-2,-2,-2,-2,-1,-2,-2,"-1,88",
лицар ,1,1,1,1,,,,1,"1,00",
лице,1,0,1,1,,,,1,"0,80","те саме, що обличчя"
лицемір ,-1,-1,-1,-2,,,,-1,"-1,20",
личинка,0,-2,-1,0,0,-1,0,-1,"-0,63",
личити,1,0,1,1,,,,1,"0,80",
лишайник,-2,-1,-2,-2,,,,-2,"-1,80",
лишати,2,0,0,-1,-2,0,0,0,"-0,13",
лишатися,0,1,0,0,0,0,0,-2,"-0,13",
лише,0,0,0,0,,,,1,"0,20",
лишити,-1,0,-2,0,,,,-1,"-0,80",
лишитися,0,0,0,0,,,,-1,"-0,20",
ліана,0,0,1,1,0,0,0,0,"0,25",
ліберальний ,1,1,0,0,,,,1,"0,60",
ліберальність,0,0,1,1,,,,1,"0,60",
Ліберія ,0,0,0,0,,,,1,"0,20",
лібертаріанський,1,2,0,0,0,0,1,1,"0,63",
Ліван,0,-1,-1,1,1,1,-2,0,"-0,13",власна вставка
ліванець,0,1,1,1,-2,0,0,1,"0,25",власна вставка
ліванський,0,1,1,1,-2,0,0,1,"0,25",власна вставка
ліванці,0,1,1,1,-2,0,0,1,"0,25",власна вставка
Ліверпуль,0,0,2,1,2,1,1,1,"1,00",
лівий,0,0,0,0,0,0,0,-1,"-0,13",
лівієць,0,-1,-1,1,-2,0,0,1,"-0,25",власна вставка
лівійський,0,1,-1,-2,0,0,0,1,"-0,13",власна вставка
лівійці,0,1,-1,-2,0,0,0,1,"-0,13",власна вставка
Лівія ,0,0,0,0,,,,1,"0,20",
ліво,0,0,0,1,0,0,0,0,"0,13",перша частина складних слів
Лівобережжя,1,0,0,0,0,0,1,1,"0,38",
лівоцентристський,-1,-1,-1,-1,0,0,0,0,"-0,50",
ліга,0,0,0,1,1,1,0,1,"0,50",
лігво ,-1,0,0,0,,,,-1,"-0,40",
лід,-2,-1,0,-2,-1,0,0,-1,"-0,88",
лідер,1,2,2,2,2,-1,1,2,"1,38",
лідерство,1,1,-1,1,2,1,2,2,"1,13",
лідерський,2,1,2,1,,,,2,"1,60",
ліжко,2,2,2,1,1,1,1,0,"1,25",
лізти,2,0,-1,-1,,,,-1,"-0,20",
лійка,0,0,1,1,0,0,0,0,"0,25",
лікар,1,-2,1,-1,1,2,1,2,"0,63",
лікарка,1,1,1,2,,,,2,"1,40",фемінітив
лікарня,1,-1,-2,-1,-1,-1,-2,1,"-0,75",
лікарняний,-1,0,-1,1,-1,-1,2,-2,"-0,38",
лікарський,1,-2,1,1,,,,-2,"-0,20",
ліквідація,-2,-2,-1,1,1,-1,1,2,"-0,13",
ліквідність,0,0,0,0,0,1,1,0,"0,25",
ліквідовувати,1,-1,-1,1,,,,2,"0,40",немає у СУМ
ліквідувати,0,1,-1,-1,,,,2,"0,20",
лікер,2,1,1,2,0,0,0,0,"0,75",
ліки,1,2,2,0,-1,-2,-1,2,"0,38",
лікнеп ,2,1,1,1,1,1,1,0,"1,00",
лікувальний,1,1,1,1,,,,2,"1,20",
лікування,-1,1,1,-1,-1,2,-2,2,"0,13",
лікувати,-2,2,1,0,0,1,2,2,"0,75",
лікуватися,-1,2,1,2,,,,2,"1,20",
Лілія,1,0,2,2,1,1,0,1,"1,00",??? ім'я чи квітка
Ліма ,0,0,0,0,,,,1,"0,20",
ліміт,0,1,-1,0,0,1,-1,-1,"-0,13",
лімітувати,0,0,-1,0,,,,-1,"-0,40",
лінгвіст,0,0,1,1,1,0,1,1,"0,63",
лінгвістика,0,0,0,1,1,1,0,1,"0,50",
лінгвістичний,0,0,1,0,,,,1,"0,40",
лінивий,-2,-2,-2,-2,,,,-2,"-2,00",
лінійка,1,0,1,0,1,0,1,1,"0,63",
лінійний,0,0,0,0,,,,1,"0,20",
лінійність,2,0,0,0,,,,0,"0,40",
лінія,0,0,0,0,1,1,0,1,"0,38",
лінь,-2,-1,-2,-1,-2,-2,-1,-2,"-1,63",лінощі
ліпити,0,0,0,1,0,0,0,0,"0,13",
ліплення,1,0,1,1,0,0,1,1,"0,63",
ліпнина,0,1,1,0,,,,1,"0,60",
ліпший,2,1,1,1,1,1,2,2,"1,38",
ліра,0,0,1,1,1,0,1,1,"0,63",
лірик,0,1,1,0,,,,1,"0,60",
лірика,0,1,1,1,,,,1,"0,80",
ліричний,0,1,1,0,,,,1,"0,60",
ліс,1,2,2,2,2,2,1,1,"1,63",
Лісабон ,0,0,0,0,,,,1,"0,20",
лісгосп,-1,-2,0,1,0,0,1,2,"0,13",
лісистий,0,1,0,1,,,,2,"0,80",
лісівник,0,1,1,2,,,,2,"1,20",
лісництво,0,1,1,2,,,,2,"1,20",
лісовий,0,0,1,1,,,,2,"0,80",
лісопарк,1,0,2,2,1,1,1,1,"1,13",
лісосмуга,0,0,1,2,1,1,0,0,"0,63",
літак,1,1,1,1,2,-1,2,-1,"0,75",
літати,1,1,0,0,1,1,0,1,"0,63",
літера,0,0,2,1,0,1,0,0,"0,50",
літератор,1,1,1,0,,,,1,"0,80",
література,2,2,2,1,1,1,2,2,"1,63",
літературний,0,1,1,0,,,,2,"0,80",
літературознавець,0,1,1,2,,,,1,"1,00",
літній,0,-1,0,0,0,0,0,2,"0,13",
літо,1,-2,1,2,2,2,1,2,"1,13",
літопис,0,0,0,0,,,,1,"0,20",
літр,1,0,1,1,0,0,1,1,"0,63",
літургія ,0,-1,0,0,,,,0,"-0,20",
ліфт,0,2,1,0,,,,1,"0,80",
ліфтер,0,1,0,0,,,,1,"0,40",
ліхтар,1,0,1,1,0,1,1,1,"0,75",
Ліхтенштейн,1,0,1,1,,,,1,"0,80",
ліцей,2,0,1,1,2,0,1,1,"1,00",
ліцензія,0,0,0,1,0,0,0,2,"0,38",
ліцензування,1,0,1,0,,,,1,"0,60",не було формули для обрахунку
лічений,0,0,0,-1,,,,0,"-0,20",
лічильник,0,1,1,0,,,,1,"0,60",
ліщина ,0,0,0,1,,,,1,"0,40",
ЛНР,-2,-2,-2,-2,-2,0,0,0,"-1,25",
лоб,0,0,0,1,,,,1,"0,40",
ловець ,-1,0,-1,0,,,,1,"-0,20",
ловити,0,0,1,0,0,0,2,1,"0,50",
логіка,1,2,2,1,2,2,1,2,"1,63",
логін,1,0,0,1,0,1,1,0,"0,50",
логіст,1,0,0,1,0,1,1,1,"0,63",
логістика,2,1,1,1,,,,1,"1,20",
логістичний,0,0,1,1,,,,1,"0,60",
логічний,1,1,0,1,,,,2,"1,00",
логічно,0,1,1,0,,,,1,"0,60",
логопед,1,1,1,1,,,,2,"1,20",власна вставка
логопедія,1,0,1,0,0,1,1,1,"0,63",
логотип,1,0,1,1,1,0,1,2,"0,88",
ложка,0,0,0,0,0,1,1,0,"0,25",
лоза,0,0,0,0,,,,1,"0,20",
лозунг,1,0,0,-1,1,0,1,0,"0,25",
локалізація,0,-1,0,0,0,1,1,1,"0,25",
локальний,0,0,0,0,1,0,1,1,"0,38",
локально,0,0,1,0,,,,1,"0,40",
локація,0,0,2,0,2,1,1,1,"0,88",
локдаун,2,0,1,-1,2,-2,-2,-2,"-0,25",
локомотив,0,0,1,1,1,1,1,0,"0,63",
локшина,0,0,1,0,,,,0,"0,20",
лом,0,-1,0,0,,,,-1,"-0,40",
ломбард,0,0,0,-2,,,,-1,"-0,60",
Лондон,2,1,0,1,1,1,1,1,"1,00",
лопата ,0,0,0,1,,,,1,"0,40",
лопух,-2,-1,-2,-2,-2,0,-2,-1,"-1,50",сленг
Лореаль,1,0,1,2,0,0,0,0,"0,50",торгова марка косметики
Лос-Анджелес,2,1,0,0,,,,1,"0,80",
лоскотати ,-1,0,0,1,,,,-1,"-0,20",
лосось,2,0,2,2,-1,1,1,0,"0,88",
лось,0,0,1,1,0,-2,0,-1,"-0,13",
лото,-1,0,1,-1,0,-1,0,0,"-0,25",
лохина,2,1,1,1,,,,1,"1,20",
лохотрон,-2,-2,-1,-2,-2,-2,-2,-1,"-1,75",умисне або ненавмисне введення в оману
лояльний,1,1,1,1,1,1,1,2,"1,13",
Лувр,2,1,1,2,2,1,1,1,"1,38",
луг ,1,0,1,2,1,1,1,1,"1,00",
Луганськ,0,-1,-1,-1,,,,1,"-0,40",
луганський,-1,0,0,1,,,,1,"0,20",
Луганщина,1,0,1,1,0,1,0,1,"0,63",
лук,0,-1,0,1,,,,-1,"-0,20",
лук,0,1,1,1,,,,2,"1,00",
лукавий ,-1,-1,0,-2,,,,-2,"-1,20",
Лукас Пітшайдер ,2,1,0,0,,,,0,"0,60",Лукас Пітшайдер - австрійський режисер
лунати,0,0,0,1,,,,1,"0,40",
лунатизм,-2,-1,-1,-2,-1,-1,-2,-1,"-1,38",
лупа,0,0,0,0,,,,1,"0,20",
лупати,-1,-1,0,-1,0,0,0,0,"-0,38",
Луцьк,0,0,1,1,0,1,1,1,"0,63",
Луческу ,1,1,0,0,,,,0,"0,40",прізвище тренера
Львів,0,1,2,1,2,2,2,2,"1,50",
львівський,0,1,1,1,,,,1,"0,80",
Львівщина,1,2,2,2,2,2,2,2,"1,88",власна вставка
льодовик,1,0,1,-1,0,0,0,1,"0,25",
льодовиковий,-1,0,0,0,,,,-1,"-0,40",
льон,2,0,1,1,0,1,2,2,"1,13",
льох,0,0,0,0,,,,-1,"-0,20",
люб'язний,1,1,1,1,,,,1,"1,00",
люб'язно,1,1,1,0,,,,2,"1,00",
любий  ,2,0,1,2,,,,2,"1,40",
любимчик,-2,-1,-1,-1,-2,-1,0,-1,"-1,13",улюбленець
любитель,1,0,0,0,,,,2,"0,60",
любити,1,1,2,2,2,2,2,2,"1,75",
Люблін ,1,0,0,0,,,,1,"0,40",
Любляна,0,2,2,1,0,0,0,1,"0,75",власна вставка
люблячий ,2,1,2,1,,,,2,"1,60",
любо,1,0,1,0,,,,1,"0,60",
любов,2,2,1,2,2,2,2,2,"1,88",абстрактне поняття
любовний,0,1,1,2,,,,2,"1,20",
люди,0,2,0,1,0,0,2,1,"0,75",
людина,2,1,1,2,2,2,1,2,"1,63",
людиноненависний,-2,-2,-2,-2,,,,-2,"-2,00",
людиноподібний,0,1,0,1,,,,1,"0,60",
людиноцентризм,1,2,1,1,0,0,1,0,"0,75",
людство,1,1,2,1,1,1,1,2,"1,25",
людський,0,1,1,1,1,0,0,2,"0,75",
людяність,1,2,2,2,,,,2,"1,80",
люк,-1,0,0,0,,,,-1,"-0,40",
Люксембург ,0,0,0,0,,,,1,"0,20",
люксембурзький,0,2,2,1,1,1,0,1,"1,00",власна вставка
люмінесцентний ,0,0,0,1,,,,1,"0,40",
люстра,0,0,0,0,1,1,0,1,"0,38",
люстрація,1,-1,-1,0,,,,0,"-0,20",
лютий,1,-2,1,-2,-1,-1,-2,-2,"-1,00",
лютий,0,0,-1,1,,,,1,"0,20",
люто,-1,-1,-2,-2,,,,-2,"-1,60",
лютувати,-1,-2,-1,-2,,,,-2,"-1,60",
лють,-1,-1,-2,-1,,,,-2,"-1,40",
лягавий,-1,-1,-2,-1,-1,0,-2,-1,"-1,13",
лягати,0,0,0,1,1,2,2,1,"0,88",
лякати,-1,-2,-2,-2,1,-2,-2,-2,"-1,50",
лялечка,0,0,1,0,,,,1,"0,40",зменш.-пестл. до лялька
лялька,1,0,1,1,0,0,0,2,"0,63",
ляльковий,0,1,0,1,,,,1,"0,60",
ляпас,-2,-2,-1,-2,-1,-1,-2,-2,"-1,63",
лящ ,0,0,0,1,,,,1,"0,40",
м'яз,0,0,0,1,,,,1,"0,40",
м'язовий,0,0,0,1,,,,1,"0,40",
м'який,2,1,1,2,2,2,1,1,"1,50",2 значення
м'якість,1,1,-1,0,,,,1,"0,40",
м'яко,2,1,1,0,,,,1,"1,00",
м'ясний,1,0,2,1,,,,1,"1,00",
м'ясо,-2,2,1,1,2,1,2,2,"1,13",
м'ясоїд,-1,0,1,1,0,1,0,0,"0,25",
м'ята,2,0,2,2,2,1,2,1,"1,50",
м'яч,1,0,1,0,0,1,1,1,"0,63",
м'ячик,1,1,1,1,,,,1,"1,00",зменш.-пестл. до м'яч
М’янма,0,2,0,0,0,0,0,0,"0,25",власна вставка
мавка ,0,1,1,0,,,,1,"0,60",
мавпа,0,0,0,1,,,,1,"0,40",
маври,0,-1,-1,0,0,0,0,1,"-0,13",власна вставка
Маврикій,0,2,0,0,0,0,0,1,"0,38",власна вставка
мавританець,0,-1,0,0,0,0,0,0,"-0,13",власна вставка
Мавританія,0,-1,0,0,0,0,0,0,"-0,13",власна вставка
мавританський,0,-1,0,0,0,0,0,0,"-0,13",власна вставка
мавританці,0,-1,0,0,0,0,0,0,"-0,13",власна вставка
маг ,2,1,1,0,1,1,1,0,"0,88",
магазин,0,2,2,1,1,1,0,2,"1,13",
магістр,0,0,1,1,,,,0,"0,40",
магістраль,0,1,1,1,,,,1,"0,80",
магістратура,1,0,2,0,0,1,1,1,"0,75",
магічний,1,2,-1,1,,,,1,"0,80",
магія,-1,1,1,-1,2,1,2,2,"0,88",
магнат,-1,-1,-2,-1,0,0,0,-1,"-0,75",
магній,1,0,0,1,0,0,1,2,"0,63",
магніт,0,1,0,0,,,,1,"0,40",
магнітний,0,1,0,0,,,,1,"0,40",
Мадагаскар,0,2,2,2,2,2,2,1,"1,63",власна вставка
Мадонна,2,0,1,1,0,1,1,1,"0,88",
Мадрид,0,2,2,2,2,1,1,1,"1,38",власна вставка
маєток,1,0,1,2,0,0,2,2,"1,00",
мажор,-2,-2,-1,-1,-1,-2,-1,-1,"-1,38",
МАЗ,1,0,1,-1,-1,1,1,0,"0,25",
майбутнє,1,2,1,1,1,1,2,2,"1,38",
майбутній,0,1,1,0,1,0,1,2,"0,75",
Майдан,-1,1,1,1,1,1,1,1,"0,75",
майдан,0,1,1,1,,,,1,"0,80",
майданчик,1,0,0,1,0,0,0,1,"0,38",
майже,0,0,-1,0,,,,-1,"-0,40",
майка,1,0,0,1,1,1,0,0,"0,50",
Майкрософт,2,2,0,1,1,1,2,1,"1,25",
майнінг,1,0,1,0,0,0,0,1,"0,38",
майно,1,1,2,1,1,2,2,2,"1,50",
майонез,0,-2,1,0,,,,0,"-0,20",
майор,1,1,0,0,0,1,2,1,"0,75",
майстер,0,1,1,0,1,0,1,2,"0,75",
майстер-клас,1,2,0,1,1,0,1,2,"1,00",
майстерний,1,2,1,1,,,,2,"1,40",
майстерність,1,2,1,2,,,,2,"1,60",
майстерня,0,0,2,1,1,1,1,2,"1,00",
майстриня,1,1,2,2,,,,2,"1,60",фемінітив
макарони,0,0,1,0,1,2,0,0,"0,50",
Макдональдс,1,1,1,1,1,-1,0,0,"0,50",
македонець,0,1,1,1,1,0,0,1,"0,63",власна вставка
Македонія,0,1,1,1,1,0,0,1,"0,63",власна вставка
македонський,0,1,1,1,1,0,0,1,"0,63",власна вставка
македонці,0,1,1,1,1,0,0,1,"0,63",власна вставка
макет,0,0,1,0,1,0,0,1,"0,38",
Макіївка,0,1,1,-1,0,0,0,1,"0,25",власна вставка
макіяж,1,1,2,1,1,2,0,0,"1,00",
макроекономічний,-1,-1,0,0,,,,1,"-0,20",
макрос,1,0,0,1,1,0,0,0,"0,38",
макросвіт,0,1,1,1,,,,1,"0,80",
максималізм,-2,-2,1,0,1,0,0,0,"-0,25",
максимальний,2,0,1,2,1,1,1,1,"1,13",
максимально,2,1,2,0,2,2,2,0,"1,38",
максимум,1,1,0,1,2,0,1,1,"0,88",
макулатура,0,0,1,1,,,,-1,"0,20",
Малаві,0,1,0,0,0,0,0,0,"0,13",власна вставка
малайзійський,0,-2,-2,-2,1,1,-1,1,"-0,50",власна вставка
Малайзія,0,1,1,1,1,-1,0,1,"0,50",власна вставка
Мале,0,1,0,0,0,0,0,0,"0,13",власна вставка
маленький,1,0,1,1,1,-1,2,-1,"0,50",
малеча,2,1,1,2,,,,1,"1,40",
малий,-1,0,-1,-1,0,0,0,-1,"-0,50",
малина,2,0,1,2,0,1,2,2,"1,25",
мало,-2,-1,-1,0,2,-1,-1,-1,"-0,63",
маловідомий,0,0,-1,0,,,,-1,"-0,40",
малоефективний,-1,0,-1,-1,,,,-2,"-1,00",
малозахищений,-2,0,-1,-1,,,,-2,"-1,20",
малокаліберний,-1,-2,0,0,-1,0,0,0,"-0,50",
малолітній ,0,0,-1,-1,,,,-1,"-0,60",
малопридатний,-1,0,-1,-1,,,,-2,"-1,00",
Мальдіви,1,1,2,2,1,0,1,1,"1,13",
мальдівський,0,2,2,2,2,2,1,1,"1,50",власна вставка
мальовничий,2,2,1,1,2,1,1,2,"1,50",
Мальта,0,1,1,1,2,2,0,1,"1,00",власна вставка
малювання,0,1,1,1,,,,2,"1,00",
малювати,0,0,1,2,,,,2,"1,00",
малюк,1,2,1,1,1,1,2,2,"1,38",
малюнок,2,0,2,1,1,1,-2,1,"0,75",
малярія,-2,-2,-2,-2,2,-2,-2,-2,"-1,50",
малятко,1,2,1,2,,,,1,"1,40",пестл. до маля
мама,2,2,2,2,1,2,2,2,"1,88",
мамка,-1,-2,-2,1,,,,0,"-0,80",розм. до мама
мамонт,1,0,2,0,2,0,0,0,"0,63",
мамочка,2,1,2,2,,,,1,"1,60",пестл. до мама
МАН,1,1,2,0,0,1,1,1,"0,88",
Манагуа,0,0,0,0,0,0,0,1,"0,13",власна вставка
Манама,0,0,0,0,0,0,0,1,"0,13",власна вставка
манга,2,2,0,0,2,0,0,0,"0,75",
манго,2,2,1,2,1,2,0,1,"1,38",
мандарин,2,1,1,2,1,1,2,1,"1,38",
мандри,0,1,1,2,,,,2,"1,20",
мандрівка,2,1,1,2,1,1,2,2,"1,50",
мандрівник,1,0,2,2,,,,1,"1,20",
мандрувати,1,1,1,2,,,,2,"1,40",
манити,0,0,-1,0,,,,-1,"-0,40",
маніакальний,-2,-2,-2,-2,-1,-2,-2,-2,"-1,88",
манікюр,0,0,1,0,1,2,0,0,"0,50",
Маніла,0,0,0,0,0,0,0,1,"0,13",власна вставка
маніпулювання,-1,-2,-2,-2,,,,-2,"-1,80",
маніпулювати,-1,-2,-2,-2,,,,-2,"-1,80",
маніпуляція,-1,-2,-2,-2,-1,-2,-1,-2,"-1,63",
манія,-2,-2,-1,-2,-2,-2,-2,-2,"-1,88",
маніяк,-2,-2,-2,-2,-2,-2,-2,-2,"-2,00",
Мансарда,2,0,1,2,0,1,0,0,"0,75",заклад харчування
мантія,0,1,1,0,,,,-1,"0,20",
мантра,1,1,0,0,1,0,0,0,"0,38",
манту,-2,-1,1,0,-1,1,0,0,"-0,25",
мапа,0,0,0,1,1,0,0,1,"0,38",
маразм,-2,-2,-2,-2,-2,-2,-2,-1,"-1,88",
марафет,-1,-1,-1,0,-1,-2,0,0,"-0,75",
марафон,1,0,1,0,1,2,0,1,"0,75",
марафонець,1,1,1,1,,,,1,"1,00",
Марвел ,2,1,0,0,1,0,1,1,"0,75","Нью-йоркська компанія, яка спеціалізується на видавництві коміксів і суміжних їм носіїв. "
марення,-1,-1,-2,-2,,,,-2,"-1,60",
марихуана,-2,-1,-2,-2,-1,-2,-2,-2,"-1,75",
Маріо ,1,1,0,0,1,0,1,0,"0,50",персонаж ігор
маріонетка,-2,-2,-1,0,-2,-1,-1,-2,"-1,38",
Маріуполь,-1,-1,1,0,-1,0,0,1,"-0,13",
марка,0,1,1,0,0,0,0,1,"0,38",
маркет,2,1,1,1,,,,1,"1,20",
маркетинг,0,0,1,0,1,1,0,1,"0,50",
маркетинговий,0,0,1,0,,,,1,"0,40",
маркетолог,0,0,0,1,,,,1,"0,40",
марля,2,0,1,1,,,,1,"1,00",
мармелад,2,1,1,2,2,1,2,2,"1,63",
мармур,1,0,0,1,1,1,1,1,"0,75",
марний,-1,-1,-1,-2,,,,-1,"-1,20",
марно,-2,-1,-1,-1,-1,-1,-1,-2,"-1,25",
марнувати,-2,-2,-1,-2,-2,-1,-2,-2,"-1,75",
мародерство,-2,-2,-2,-2,,,,-2,"-2,00",
Марокко,1,0,0,0,,,,1,"0,40",
Марс,0,0,2,1,1,0,2,1,"0,88",
марш,0,0,1,0,1,1,1,1,"0,63",
маршрут,1,2,1,0,1,1,1,1,"1,00",
маршрутка,1,0,1,1,1,0,0,1,"0,63",
маршрутний,0,0,1,0,,,,1,"0,40",
маса,0,0,0,1,0,0,0,1,"0,25",
маса,0,-1,0,0,-1,0,0,0,"-0,25",
масаж,2,1,1,2,2,2,2,2,"1,75",
масив,0,1,0,0,1,1,1,1,"0,63",
масивний,1,0,0,0,1,0,0,-1,"0,13",
маска,1,0,0,2,1,1,1,0,"0,75",
маска,0,1,1,1,-1,1,-2,0,"0,13",
маскарад,1,2,1,2,2,1,2,-1,"1,25",
масло,1,0,1,2,1,0,1,0,"0,75",
масмедіа,0,0,1,1,,,,1,"0,60",
масовий,1,1,0,-1,-1,0,-1,-1,"-0,25",
масовка,1,-1,0,0,1,0,-1,-1,"-0,13",
масочка,0,2,0,1,,,,0,"0,60",
мастити,0,0,1,1,,,,1,"0,60",
масштаб,0,0,0,0,1,0,0,1,"0,25",
масштабний,0,1,1,1,,,,1,"0,80",
